codigo,titulo,autor,ano,genero,disponivel
L00001,The Prophet,Kahlil Gibran,1900,Literatura,nao
L00002,Das Schloß,Franz Kafka,1926,Literatura,sim
L00003,On The Road,Jack Kerouac,1957,Literatura,sim
L00004,Ὀδύσσεια,Όμηρος,1488,Literatura,sim
L00005,Tanglewood Tales,Nathaniel Hawthorne,1853,Literatura,sim
L00006,Братья Карамазовы,Fyodor Dostoyevsky,1880,Literatura,nao
L00007,The Fountainhead,Ayn Rand,1943,Literatura,sim
L00008,Tender is the Night,F. Scott Fitzgerald,1933,Literatura,sim
L00009,Where the Red Fern Grows,Wilson Rawls,1961,Literatura,sim
L00010,Die Aufzeichnungen des Malte Laurids Brigge,Rainer Maria Rilke,1910,Literatura,sim
L00011,Pagan Papers,Kenneth Grahame,1894,Literatura,nao
L00012,"Ramayana, a Holy Bible of India",Vālmīki,1823,Literatura,nao
L00013,La Peste,Albert Camus,1942,Literatura,sim
L00014,The Cask of Amontillado,Edgar Allan Poe,1846,Literatura,sim
L00015,Анна Каренина,Лев Толстой,1876,Literatura,sim
L00016,The Wild Knight and Other Poems,Gilbert Keith Chesterton,1900,Literatura,nao
L00017,Mythology,Edith Hamilton,1940,Literatura,sim
L00018,Love and Freindship,Jane Austen,1995,Literatura,sim
L00019,Post office,Charles Bukowski,1974,Literatura,sim
L00020,The inside of the cup,Winston Churchill,1913,Literatura,sim
L00021,Atlas Shrugged (Centennial Ed. HC),Ayn Rand,1936,Literatura,nao
L00022,A Modern Utopia,H. G. Wells,1900,Literatura,sim
L00023,The Road to Oz,L. Frank Baum,1909,Literatura,nao
L00024,Sult,Knut Hamsun,1890,Literatura,sim
L00025,The Stepford Wives,Ira Levin,1972,Literatura,sim
L00026,A Wonder Book for Girls and Boys,Nathaniel Hawthorne,1800,Literatura,nao
L00027,Memórias póstumas de Brás Cubas,Machado de Assis,1881,Literatura,sim
L00028,Markens grøde,Knut Hamsun,1917,Literatura,sim
L00029,Player Piano,Kurt Vonnegut,1952,Literatura,sim
L00030,Siddhartha,Hermann Hesse,1922,Literatura,sim
L00031,The Sea Fairies,L. Frank Baum,1911,Literatura,nao
L00032,Heidi,"Spyri, Johanna",1885,Literatura,sim
L00033,Black Ships Before Troy,Rosemary Sutcliff,1967,Literatura,sim
L00034,Women in Love,D. H. Lawrence,1877,Literatura,nao
L00035,Il Paradiso,Dante Alighieri,1595,Literatura,sim
L00036,Phantastes,George MacDonald,1850,Literatura,nao
L00037,Dawn,Eleanor Hodgman Porter,1919,Literatura,sim
L00038,Where the Sidewalk Ends,Shel Silverstein,1974,Literatura,sim
L00039,कामसूत्र,Vatsyāyana,1883,Literatura,sim
L00040,La fortune des Rougon,Émile Zola,1875,Literatura,sim
L00041,The Princess and Curdie,George MacDonald,1832,Literatura,nao
